Name,Similar Movies,IMDb URL
Capernaum,"The Lives of Others, Come and See, 3 Idiots, The Hunt, High and Low, A Separation, Incendies, Once Upon a Time in America, Dangal, Singin' in the Rain, Cinema Paradiso, The Intouchables",https://www.imdb.com/title/tt8267604/
Sunset Boulevard,"Witness for the Prosecution, Paths of Glory, City Lights, The Lives of Others, The Great Dictator, Rear Window, Double Indemnity, Modern Times, Cinema Paradiso, Once Upon a Time in the West, The Apartment, Apocalypse Now",https://www.imdb.com/title/tt0043014/
Das Boot,"Amadeus, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Braveheart, The Great Dictator, Witness for the Prosecution, American Beauty, The Good, the Bad and the Ugly, Star Wars: Episode V - The Empire Strikes Back, Oldboy, Paths of Glory, Das Boot, The Godfather Part II",https://www.imdb.com/title/tt0082096/
3 Idiots,"Dangal, PK, 12th Fail, 3 Idiots, Munna Bhai M.B.B.S., Drishyam, Bajrangi Bhaijaan, Capernaum, Chhichhore, Your Name., Andhadhun, Baahubali 2: The Conclusion",https://www.imdb.com/title/tt1187043/
Witness for the Prosecution,"The Great Dictator, Sunset Boulevard, Paths of Glory, Amadeus, The Lives of Others, Das Boot, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Witness for the Prosecution, City Lights, The Shining, Double Indemnity, Modern Times",https://www.imdb.com/title/tt0051201/
Paths of Glory,"Witness for the Prosecution, Amadeus, The Great Dictator, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Sunset Boulevard, Come and See, Apocalypse Now, Ikiru, The Killing, Hamilton, Barry Lyndon, Spartacus",https://www.imdb.com/title/tt0050825/
The Great Dictator,"Witness for the Prosecution, Modern Times, City Lights, Paths of Glory, Amadeus, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Sunset Boulevard, Das Boot, Aliens, The Shining, The Lives of Others, The Gold Rush",https://www.imdb.com/title/tt0032553/
High and Low,"Ikiru, Yojimbo, Harakiri, Ran, Rashomon, Red Beard, Seven Samurai, Sanjuro, Throne of Blood, The Hidden Fortress, The Bad Sleep Well, Stray Dog",https://www.imdb.com/title/tt0057565/
The Wild Robot,"The Substance, Beetlejuice Beetlejuice, Deadpool & Wolverine, Alien: Romulus, Venom: The Last Dance, Smile 2, Joker: Folie à Deux, Beetlejuice, The Apprentice, Kamala Harris: 100 Days Out, The First Interview: Harris & Walz A CNN Exclusive, Barack and Michelle Obama Endorse Kamala Harris for President",https://www.imdb.com/title/tt29623480/
Oppenheimer,"Inception, The Wolf of Wall Street, Dune: Part Two, Joker, The Dark Knight, Shutter Island, Fight Club, The Dark Knight Rises, Interstellar, Forrest Gump, Top Gun: Maverick, Inglourious Basterds",https://www.imdb.com/title/tt15398776/
Good Will Hunting,"The Truman Show, Catch Me If You Can, Dead Poets Society, A Beautiful Mind, Forrest Gump, Fight Club, Shutter Island, The Wolf of Wall Street, Inglourious Basterds, Green Book, Se7en, Django Unchained",https://www.imdb.com/title/tt0119217/
Eternal Sunshine of the Spotless Mind,"The Truman Show, Requiem for a Dream, Good Will Hunting, American Beauty, A Beautiful Mind, Como Desaparecer Completamente, Her, Taxi Driver, Amélie, Shutter Island, Fight Club, Memento",https://www.imdb.com/title/tt0338013/
Requiem for a Dream,"Eternal Sunshine of the Spotless Mind, American Beauty, A Clockwork Orange, Memento, American History X, Léon: The Professional, Trainspotting, A Beautiful Mind, Taxi Driver, Black Swan, Fight Club, The Truman Show",https://www.imdb.com/title/tt0180093/
American Beauty,"Braveheart, Requiem for a Dream, American History X, The Usual Suspects, Good Will Hunting, Oldboy, A Beautiful Mind, Memento, Léon: The Professional, Amadeus, The Shining, Eternal Sunshine of the Spotless Mind",https://www.imdb.com/title/tt0169547/
Heat,"Scarface, Casino, Reservoir Dogs, Goodfellas, The Departed, L.A. Takedown, The Usual Suspects, Heat 2, Die Hard, Taxi Driver, No Country for Old Men, Snatch",https://www.imdb.com/title/tt0113277/
Come and See,"Ikiru, Paths of Glory, Hamilton, Amadeus, Apocalypse Now, Taxi Driver, Come and See, Green Book, The Black Widower: The Six Wives of Thomas Randolph, Teen Torture, Inc., Ctrl+Alt+Desire, The Story of the Film 'Come and See'",https://www.imdb.com/title/tt0091251/
Oldboy,"American Beauty, Parasite, Memento, Se7en, Inglourious Basterds, Memories of Murder, Requiem for a Dream, The Shining, Oldboy, Fight Club, No Country for Old Men, Léon: The Professional",https://www.imdb.com/title/tt0364569/
Scarface,"Taxi Driver, Goodfellas, The Wolf of Wall Street, The Godfather Part II, Reservoir Dogs, The Godfather, Pulp Fiction, Inglourious Basterds, Casino, Django Unchained, Fight Club, Heat",https://www.imdb.com/title/tt0086250/
Braveheart,"American Beauty, Saving Private Ryan, Gladiator, Inglourious Basterds, Good Will Hunting, A Beautiful Mind, The Green Mile, Schindler's List, Forrest Gump, American History X, Die Hard, Brave Heart",https://www.imdb.com/title/tt0112573/
2001: A Space Odyssey,"Citizen Kane, M, North by Northwest, A Clockwork Orange, A Separation, Barry Lyndon, Incendies, Full Metal Jacket, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, 2010: The Year We Make Contact, The Shining, Closure",https://www.imdb.com/title/tt0062622/
Once Upon a Time in America,"Once Upon a Time in the West, Apocalypse Now, Heat, The Good, the Bad and the Ugly, Casino, Scarface, Raging Bull, Goodfellas, The Deer Hunter, Amadeus, Full Metal Jacket, Taxi Driver",https://www.imdb.com/title/tt0087843/
The Hunt,"Another Round, Oldboy, The Lives of Others, Requiem for a Dream, The Intouchables, American Beauty, American History X, Whiplash, Léon: The Professional, Memento, City of God, The Pianist",https://www.imdb.com/title/tt2106476/
North by Northwest,"Citizen Kane, M, Vertigo, Dial M for Murder, Rear Window, A Separation, 2001: A Space Odyssey, Incendies, The Birds, To Catch a Thief, Rope, Psycho",https://www.imdb.com/title/tt0053125/
Toy Story,"Toy Story 3, Toy Story 2, Monsters, Inc., Up, Finding Nemo, The Lion King, WALL·E, Toy Story 4, The Incredibles, Ratatouille, Coco, Inside Out",https://www.imdb.com/title/tt0114709/
Incendies,"A Separation, M, North by Northwest, Citizen Kane, 2001: A Space Odyssey, Polytechnique, Capernaum, The Hunt, Prisoners, Enemy, Maelstrom, Come and See",https://www.imdb.com/title/tt1255953/
Hamilton,"Come and See, Green Book, Ikiru, Taxi Driver, Amadeus, Paths of Glory, The Father, Capernaum, Once Upon a Time in the West, Apocalypse Now, Casablanca, Downfall",https://www.imdb.com/title/tt8503618/
Reservoir Dogs,"Pulp Fiction, Kill Bill: Vol. 1, Inglourious Basterds, Django Unchained, Kill Bill: Vol. 2, Scarface, No Country for Old Men, The Hateful Eight, The Departed, Taxi Driver, Goodfellas, Reservoir Cats",https://www.imdb.com/title/tt0105236/
Up,"WALL·E, Finding Nemo, Ratatouille, Monsters, Inc., Toy Story, Toy Story 3, The Incredibles, Inside Out, Coco, The Lion King, How to Train Your Dragon, Zootopia",https://www.imdb.com/title/tt1049413/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Amadeus, Barry Lyndon, 2001: A Space Odyssey, Paths of Glory, The Great Dictator, Das Boot, A Clockwork Orange, Full Metal Jacket, The Shining, American Beauty, Braveheart, A Boy Named Death",https://www.imdb.com/title/tt0057012/
Amélie,"A Beautiful Mind, The Grand Budapest Hotel, Life Is Beautiful, Eternal Sunshine of the Spotless Mind, A Clockwork Orange, The Truman Show, Requiem for a Dream, American Beauty, The Intouchables, Pan's Labyrinth, V for Vendetta, Léon: The Professional",https://www.imdb.com/title/tt0211915/
Princess Mononoke,"Nausicaä of the Valley of the Wind, Grave of the Fireflies, Your Name., The Wind Rises, Porco Rosso, The Boy and the Heron, Akira, Tales from Earthsea, Good Will Hunting, A Silent Voice: The Movie, Perfect Blue, Spider-Man: Across the Spider-Verse",https://www.imdb.com/title/tt0119698/
