Name,Similar Movies
Tokyo Story,"Late Spring, The Wages of Fear, Wild Strawberries, The Passion of Joan of Arc, Rashomon, Ikiru, To Be or Not to Be, Early Summer, Yojimbo, The Battle of Algiers, The Best Years of Our Lives, High and Low"
The Grapes of Wrath,"The Best Years of Our Lives, Mr. Smith Goes to Washington, To Be or Not to Be, Rebecca, The Battle of Algiers, It Happened One Night, Cool Hand Luke, The Treasure of the Sierra Madre, On the Waterfront, The Wages of Fear, The Passion of Joan of Arc, All About Eve"
The Wages of Fear,"To Be or Not to Be, The Battle of Algiers, Tokyo Story, The Best Years of Our Lives, The Grapes of Wrath, The Passion of Joan of Arc, Wild Strawberries, Mr. Smith Goes to Washington, The Treasure of the Sierra Madre, Diabolique, On the Waterfront, The Third Man"
The Battle of Algiers,"The Grapes of Wrath, The Wages of Fear, To Be or Not to Be, The Best Years of Our Lives, The Passion of Joan of Arc, Tokyo Story, Cool Hand Luke, Wild Strawberries, Rebecca, It Happened One Night, Mr. Smith Goes to Washington, The Battle of Algiers, a Film Within History"
Wild Strawberries,"The Seventh Seal, Persona, Cries & Whispers, The Virgin Spring, Fanny and Alexander, Winter Light, Autumn Sonata, Tokyo Story, The Passion of Joan of Arc, To Be or Not to Be, The Wages of Fear, Rashomon"
To Be or Not to Be,"The Best Years of Our Lives, The Grapes of Wrath, It Happened One Night, The Wages of Fear, Mr. Smith Goes to Washington, The Battle of Algiers, The Passion of Joan of Arc, Rebecca, Wild Strawberries, Tokyo Story, The Treasure of the Sierra Madre, The Third Man"
The Passion of Joan of Arc,"The General, Sherlock Jr., Tokyo Story, The Gold Rush, Wild Strawberries, To Be or Not to Be, The Wages of Fear, The Grapes of Wrath, The Battle of Algiers, The Best Years of Our Lives, Metropolis, It Happened One Night"
The General,"Sherlock Jr., The Gold Rush, The Passion of Joan of Arc, City Lights, The Navigator, Metropolis, It Happened One Night, The Grapes of Wrath, Modern Times, To Be or Not to Be, Mr. Smith Goes to Washington, The Wages of Fear"
The Gold Rush,"City Lights, The General, Modern Times, Sherlock Jr., The Great Dictator, The Passion of Joan of Arc, Limelight, Metropolis, The Pilgrim, Mr. Smith Goes to Washington, It Happened One Night, A Dog's Life"
The Incredibles,"Incredibles 2, Monsters, Inc., Ratatouille, Finding Nemo, Up, Toy Story, Toy Story 3, WALL·E, How to Train Your Dragon, Inside Out, Cars, The Lion King"
Groundhog Day,"The Big Lebowski, Die Hard, The Truman Show, The Terminator, Into the Wild, Monty Python and the Holy Grail, Jaws, Jurassic Park, Jeep: Groundhog Day, Rocky, Stand by Me, Good Will Hunting"
Cool Hand Luke,"The Sting, The Grapes of Wrath, The Great Escape, The Bridge on the River Kwai, It Happened One Night, Butch Cassidy and the Sundance Kid, The Treasure of the Sierra Madre, On the Waterfront, Mr. Smith Goes to Washington, Rebecca, The Best Years of Our Lives, The Battle of Algiers"
Amores Perros,"Babel, 21 Grams, Cool Hand Luke, Wild Tales, Y tu mamá también, Biutiful, The Secret in Their Eyes, The Grapes of Wrath, Rebecca, The Battle of Algiers, Before Sunset, Into the Wild"
