Name,Similar Movies
American Beauty,"Braveheart, Requiem for a Dream, American History X, The Usual Suspects, Good Will Hunting, Oldboy, A Beautiful Mind, Memento, Léon: The Professional, Amadeus, The Shining, Eternal Sunshine of the Spotless Mind"
Heat,"Scarface, Casino, Reservoir Dogs, Goodfellas, The Departed, L.A. Takedown, The Usual Suspects, Heat 2, Die Hard, Taxi Driver, No Country for Old Men, Snatch"
Come and See,"Ikiru, Paths of Glory, Hamilton, Amadeus, Apocalypse Now, Taxi Driver, Come and See, Green Book, The Black Widower: The Six Wives of Thomas Randolph, Teen Torture, Inc., Ctrl+Alt+Desire, The Story of the Film 'Come and See'"
Oldboy,"American Beauty, Parasite, Memento, Se7en, Inglourious Basterds, Memories of Murder, Requiem for a Dream, The Shining, Oldboy, Fight Club, No Country for Old Men, Léon: The Professional"
Scarface,"Taxi Driver, Goodfellas, The Wolf of Wall Street, The Godfather Part II, Reservoir Dogs, The Godfather, Pulp Fiction, Inglourious Basterds, Casino, Django Unchained, Fight Club, Heat"
Braveheart,"American Beauty, Saving Private Ryan, Gladiator, Inglourious Basterds, Good Will Hunting, A Beautiful Mind, The Green Mile, Schindler's List, Forrest Gump, American History X, Die Hard, Brave Heart"
2001: A Space Odyssey,"Citizen Kane, M, North by Northwest, A Clockwork Orange, A Separation, Barry Lyndon, Incendies, Full Metal Jacket, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, 2010: The Year We Make Contact, The Shining, Closure"
Once Upon a Time in America,"Once Upon a Time in the West, Apocalypse Now, Heat, The Good, the Bad and the Ugly, Casino, Scarface, Raging Bull, Goodfellas, The Deer Hunter, Amadeus, Full Metal Jacket, Taxi Driver"
The Hunt,"Another Round, Oldboy, The Lives of Others, Requiem for a Dream, The Intouchables, American Beauty, American History X, Whiplash, Léon: The Professional, Memento, City of God, The Pianist"
North by Northwest,"Citizen Kane, M, Vertigo, Dial M for Murder, Rear Window, A Separation, 2001: A Space Odyssey, Incendies, The Birds, To Catch a Thief, Rope, Psycho"
Toy Story,"Toy Story 3, Toy Story 2, Monsters, Inc., Up, Finding Nemo, The Lion King, WALL·E, Toy Story 4, The Incredibles, Ratatouille, Coco, Inside Out"
Incendies,"A Separation, M, North by Northwest, Citizen Kane, 2001: A Space Odyssey, Polytechnique, Capernaum, The Hunt, Prisoners, Enemy, Maelstrom, Come and See"
Hamilton,"Come and See, Green Book, Ikiru, Taxi Driver, Amadeus, Paths of Glory, The Father, Capernaum, Once Upon a Time in the West, Apocalypse Now, Casablanca, Downfall"
Reservoir Dogs,"Pulp Fiction, Kill Bill: Vol. 1, Inglourious Basterds, Django Unchained, Kill Bill: Vol. 2, Scarface, No Country for Old Men, The Hateful Eight, The Departed, Taxi Driver, Goodfellas, Reservoir Cats"
Up,"WALL·E, Finding Nemo, Ratatouille, Monsters, Inc., Toy Story, Toy Story 3, The Incredibles, Inside Out, Coco, The Lion King, How to Train Your Dragon, Zootopia"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Amadeus, Barry Lyndon, 2001: A Space Odyssey, Paths of Glory, The Great Dictator, Das Boot, A Clockwork Orange, Full Metal Jacket, The Shining, American Beauty, Braveheart, A Boy Named Death"
Amélie,"A Beautiful Mind, The Grand Budapest Hotel, Life Is Beautiful, Eternal Sunshine of the Spotless Mind, A Clockwork Orange, The Truman Show, Requiem for a Dream, American Beauty, The Intouchables, Pan's Labyrinth, V for Vendetta, Léon: The Professional"
Princess Mononoke,"Nausicaä of the Valley of the Wind, Grave of the Fireflies, Your Name., The Wind Rises, Porco Rosso, The Boy and the Heron, Akira, Tales from Earthsea, Good Will Hunting, A Silent Voice: The Movie, Perfect Blue, Spider-Man: Across the Spider-Verse"
Lawrence of Arabia,"The Bridge on the River Kwai, Ben-Hur, Citizen Kane, Casablanca, Gone with the Wind, A Dangerous Man: Lawrence After Arabia, The Apartment, North by Northwest, Singin' in the Rain, Vertigo, 2001: A Space Odyssey, Unforgiven"
Toy Story 3,"Toy Story, Toy Story 2, Toy Story 4, Up, Finding Nemo, Monsters, Inc., The Incredibles, Ratatouille, WALL·E, The Lion King, How to Train Your Dragon, Coco"
Star Wars: Episode VI - Return of the Jedi,"Star Wars: Episode V - The Empire Strikes Back, Star Wars: Episode IV - A New Hope, Star Wars: Episode III - Revenge of the Sith, Star Wars: Episode II - Attack of the Clones, Star Wars: Episode I - The Phantom Menace, Star Wars: Episode VII - The Force Awakens, Star Wars: Episode VIII - The Last Jedi, Rogue One: A Star Wars Story, Star Wars: Episode IX - The Rise of Skywalker, Raiders of the Lost Ark, Indiana Jones and the Last Crusade, Solo: A Star Wars Story"
Metropolis,"M, Bicycle Thieves, Citizen Kane, Metropolis, North by Northwest, The General, Vertigo, The Cabinet of Dr. Caligari, The Passion of Joan of Arc, The Gold Rush, City Lights, 2001: A Space Odyssey"
Vertigo,"Rear Window, North by Northwest, Psycho, Dial M for Murder, Citizen Kane, Rope, The Birds, The Man Who Knew Too Much, Casablanca, 2001: A Space Odyssey, Chinatown, The Apartment"
Citizen Kane,"M, North by Northwest, 2001: A Space Odyssey, Vertigo, Casablanca, A Separation, Incendies, Rear Window, Gone with the Wind, Metropolis, Touch of Evil, Singin' in the Rain"
To Kill a Mockingbird,"Gone with the Wind, North by Northwest, Citizen Kane, The Sting, The Great Escape, Lawrence of Arabia, Ben-Hur, The Apartment, Indiana Jones and the Last Crusade, The Bridge on the River Kwai, Singin' in the Rain, Casablanca"
Singin' in the Rain,"Casablanca, The Apartment, Some Like It Hot, Citizen Kane, Rear Window, Gone with the Wind, North by Northwest, Sunset Boulevard, City Lights, Vertigo, Modern Times, To Kill a Mockingbird"
The Apartment,"Some Like It Hot, Double Indemnity, Sunset Boulevard, Witness for the Prosecution, Singin' in the Rain, North by Northwest, All About Eve, Vertigo, Lawrence of Arabia, The Sting, To Kill a Mockingbird, Casablanca"
The Sting,"Cool Hand Luke, The Bridge on the River Kwai, The Great Escape, Butch Cassidy and the Sundance Kid, Ben-Hur, Unforgiven, North by Northwest, To Kill a Mockingbird, The Apartment, Some Like It Hot, The Sting II, The Deer Hunter"
A Separation,"M, Incendies, The Salesman, Citizen Kane, North by Northwest, About Elly, 2001: A Space Odyssey, Life and a Day, Capernaum, A Hero, Fireworks Wednesday, The Hunt"
M,"Citizen Kane, North by Northwest, Metropolis, A Separation, Incendies, M, 2001: A Space Odyssey, Bicycle Thieves, Ikiru, Vertigo, Double Indemnity, M - A City Hunts a Murderer"
Dangal,"3 Idiots, PK, Bajrangi Bhaijaan, 12th Fail, Drishyam, Baahubali: The Beginning, Lagaan: Once Upon a Time in India, Baahubali 2: The Conclusion, Andhadhun, Jai Bhim, Munna Bhai M.B.B.S., Chhichhore"
Double Indemnity,"Sunset Boulevard, The Apartment, Witness for the Prosecution, All About Eve, North by Northwest, The Treasure of the Sierra Madre, The Third Man, Some Like It Hot, Dial M for Murder, M, The Maltese Falcon, Double Indemnity"
Ikiru,"Come and See, Paths of Glory, High and Low, Amadeus, Rashomon, Hamilton, Yojimbo, Ran, Apocalypse Now, Ikiru, Harakiri, Seven Samurai"
Judgment at Nuremberg,"Bicycle Thieves, All About Eve, Downfall, The Treasure of the Sierra Madre, The Father, Hamilton, Witness for the Prosecution, The Great Escape, The Bridge on the River Kwai, The Best Years of Our Lives, To Kill a Mockingbird, Paths of Glory"
